Character,Sentence,Negative,Neutral,Positive,Compound,EXT_Pos,EXT_Neg,NEU_Pos,NEU_Neg,AGR_Pos,AGR_Neg,CON_Pos,CON_Neg,OPN_Pos,OPN_Neg
dumbledore, i do not believe that harry attacked anyone. ,0.3,0.7,0.0,-0.4588,0,1,0,1,0,1,0,1,0,1
dumbledore, yes. ,0.0,0.0,1.0,0.4019,1,0,1,0,0,0,0,0,1,0
dumbledore," no, harry. i do not think it was you. ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0
dumbledore, but i must ask you is there something you wish to tell me? ,0.0,0.772,0.228,0.5499,1,0,1,0,0,0,0,0,1,0
dumbledore," very well, then. ",0.0,0.455,0.545,0.3384,1,0,1,0,0,0,0,0,1,0
dumbledore, off you go. ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore, riddle! come. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," it is not wise to be wandering around this late hour, tom. ",0.188,0.812,0.0,-0.3724,0,1,0,1,0,1,0,0,0,1
dumbledore," i'm afraid they are, tom. ",0.0,1.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0
dumbledore, they are true. ,0.0,0.417,0.583,0.4215,1,0,1,0,1,0,0,0,1,0
dumbledore," i understand, tom, but i'm afraid headmaster dippet may have no choice. ",0.203,0.797,0.0,-0.4215,0,0,0,1,0,1,0,0,0,1
dumbledore, is there something you wish to tell me? ,0.0,0.722,0.278,0.4019,0,0,1,0,1,0,0,0,1,0
dumbledore," very well, then. off you go. ",0.0,0.676,0.324,0.3384,1,0,1,0,0,0,0,0,1,0
dumbledore," good evening, hagrid. ",0.0,0.408,0.592,0.4404,1,0,1,0,0,0,0,0,1,0
dumbledore," i wonder, could we...? ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore," i want it understood, cornelius that hagrid has my full confidence. ",0.0,0.662,0.338,0.5574,0,0,1,0,1,0,1,0,1,0
dumbledore," well, what exactly is it that you want with me? ",0.0,0.702,0.298,0.34,1,0,1,0,1,0,0,0,1,0
dumbledore," calm yourself, hagrid. ",0.0,0.465,0.535,0.3182,1,0,1,0,1,0,0,0,1,0
dumbledore," if the governors desire my removal i will, of course, step aside. ",0.0,0.803,0.197,0.4019,1,0,1,0,0,0,1,0,1,0
dumbledore, however you will find that help will always be given at hogwarts to those who ask for it. ,0.0,0.863,0.137,0.4019,1,0,1,0,0,0,0,0,1,0
dumbledore," you both realize, of course that in the past few hours, you have broken perhaps a dozen school rules. ",0.147,0.853,0.0,-0.4767,0,0,0,1,0,0,0,1,0,1
dumbledore, there is sufficient evidence to have you both expelled. ,0.2,0.8,0.0,-0.25,0,1,0,1,0,1,0,0,0,1
dumbledore," therefore, it is only fitting that you both receive special awards for services to the school. ",0.0,0.711,0.289,0.6908,0,0,1,0,1,0,1,0,1,0
dumbledore," now, mr. weasley, if you would have an owl deliver these release papers to azkaban. ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore, i believe we want our gamekeeper back. ,0.0,0.822,0.178,0.0772,1,0,1,0,1,0,0,0,1,0
dumbledore," harry, first, i want to thank you, harry. ",0.0,0.612,0.388,0.4215,0,0,1,0,1,0,1,0,1,0
dumbledore, you must have shown me real loyalty down in the chamber. ,0.0,0.741,0.259,0.5423,1,0,1,0,0,0,1,0,1,0
dumbledore, nothing but that could have called fawkes to you. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, and second i sense that something is troubling you. ,0.304,0.696,0.0,-0.5423,0,1,0,1,0,0,0,0,0,1
dumbledore," am i right, harry? ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore, i see. ,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0
dumbledore," well, you can speak parseltongue, harry. why? ",0.0,0.741,0.259,0.2732,1,0,1,0,1,0,1,0,1,0
dumbledore, because lord voldemort can speak parseltongue. ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore," if i'm not mistaken, harry he transferred some of his powers to you the night he gave you that scar. ",0.0,0.9,0.1,0.2755,1,0,1,0,1,0,0,0,1,0
dumbledore, not intentionally but yes. ,0.49,0.51,0.0,-0.438,0,1,0,1,0,0,0,0,0,1
dumbledore, it's true. you possess many of the qualities that voldemort himself prizes. ,0.0,0.633,0.367,0.7003,1,0,1,0,1,0,0,0,1,0
dumbledore," determination, resourcefulness and if i may say so, a certain disregard for the rules. ",0.117,0.615,0.268,0.4019,1,0,1,0,1,0,0,0,1,0
dumbledore," why, then, did the sorting hat place you in gryffindor? ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," exactly, harry. exactly. ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore, which makes you different from voldemort. ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore, it is not our abilities that show what we truly are. ,0.128,0.66,0.213,0.2869,1,0,1,0,1,0,0,0,1,0
dumbledore, it is our choices. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, if you want proof why you belong in gryffindor then i suggest you look more closely at this. ,0.0,0.929,0.071,0.0772,1,0,1,0,1,0,0,0,1,0
dumbledore, be careful. ,0.0,0.385,0.615,0.1531,1,0,1,0,1,0,1,0,1,0
dumbledore, it would take a true gryffindor to pull that out of the hat. ,0.0,0.811,0.189,0.4215,1,0,1,0,1,0,0,0,1,0
dumbledore," when the governors learned that arthur weasley's daughter was taken into the chamber, they saw fit to summon me back. ",0.0,0.884,0.116,0.3612,1,0,1,0,0,0,0,0,1,0
dumbledore," curiously, lucius, several of them were under the impression that you would curse their family if they did not agree to suspend me in the first place. ",0.173,0.708,0.119,-0.4114,0,0,0,1,0,0,0,0,0,1
dumbledore, beg your pardon? ,0.0,0.465,0.535,0.3182,1,0,1,0,1,0,1,0,1,0
dumbledore, yes. ,0.0,0.0,1.0,0.4019,1,0,1,0,0,0,0,0,1,0
dumbledore, voldemort. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, only this time he chose to act through somebody else by means of this. ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,1,0,1,0
dumbledore," fortunately, our young mr. potter discovered it. ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, one hopes that no more of lord voldemort's old school-things should find their way into innocent hands. ,0.103,0.654,0.243,0.4588,0,0,1,0,0,0,0,0,1,0
dumbledore, the consequences for the one responsible would be severe. ,0.218,0.588,0.193,-0.0772,0,1,0,1,0,1,0,1,0,1
dumbledore," before we begin the feast let us have a round of applause for professor sprout, madam pomfrey whose mandrake juice has been so successfully administered to all who had been petrified. ",0.091,0.729,0.18,0.5293,1,0,1,0,0,0,1,0,1,0
dumbledore," also, in light of the recent events as a school treat all exams have been canceled. ",0.0,0.847,0.153,0.4019,0,0,1,0,0,0,0,0,1,0
dumbledore, welcome! welcome to another year at hogwarts. ,0.0,0.443,0.557,0.7424,1,0,1,0,0,0,0,0,1,0
dumbledore," now, i'd like to say a few words before we all become too befuddled by our excellent feast. ",0.0,0.721,0.279,0.7351,1,0,1,0,0,0,1,0,1,0
dumbledore," first, i'm pleased to welcome professor r.j. lupin who's kindly consented to fill the post of defense against the dark arts teacher. ",0.0,0.629,0.371,0.8625,1,0,1,0,0,0,1,0,1,0
dumbledore," good luck, professor. ",0.0,0.145,0.855,0.7096,1,0,1,0,0,0,1,0,1,0
dumbledore, our care of magical creatures teacher has decided to retire in order to spend more time with his remaining limbs. ,0.0,0.856,0.144,0.4939,1,0,1,0,0,0,0,0,1,0
dumbledore," fortunately, i'm delighted to announce that his place will be taken by none other than our own rubeus hagrid. ",0.0,0.845,0.155,0.5106,1,0,1,0,1,0,0,0,1,0
dumbledore," finally, on a more disquieting note at the request of the ministry of magic  ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," hogwarts will, until further notice, play host to the dementors of azkaban until such a time as sirius black is captured. ",0.0,0.893,0.107,0.34,1,0,1,0,1,0,0,0,1,0
dumbledore, the dementors will be stationed at every entrance to the grounds. ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore, now whilst i've been assured that their presence will not disrupt our day-to-day activities a word of caution. ,0.0,0.872,0.128,0.3612,1,0,0,0,1,0,1,0,1,0
dumbledore, dementors are vicious creatures. ,0.455,0.545,0.0,-0.3612,0,1,0,1,0,1,0,0,0,1
dumbledore, they'll not distinguish between the one they hunt and the one who gets in their way. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0
dumbledore," therefore, i must warn each and every one of you to give them no reason to harm you. ",0.321,0.679,0.0,-0.7269,0,0,0,1,0,0,0,0,0,1
dumbledore, it is not in the nature of a dementor to be forgiving. ,0.0,0.791,0.209,0.4404,1,0,1,0,0,0,0,0,1,0
dumbledore," but you know, happiness can be found even in the darkest of times if one only remembers to turn on the light. ",0.147,0.685,0.168,0.1531,1,0,1,0,1,0,1,0,1,0
dumbledore, mr. filch? round up the ghosts. ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore, tell them to search every painting in the castle to find the fat lady. ,0.0,1.0,0.0,0.0,0,0,1,0,1,0,1,0,1,0
dumbledore, keep moving! ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," dear lady, who did this to you? ",0.0,0.698,0.302,0.3818,1,0,1,0,1,0,0,0,1,0
dumbledore," secure the castle, mr. filch. ",0.0,0.625,0.375,0.34,1,0,1,0,1,0,0,0,1,0
dumbledore," the rest of you, to the great hall. ",0.0,0.631,0.369,0.6249,0,0,1,0,0,0,0,0,1,0
dumbledore, thank you. ,0.0,0.286,0.714,0.3612,1,0,1,0,0,0,0,0,1,0
dumbledore, very good. ,0.0,0.238,0.762,0.4927,1,0,1,0,1,0,0,0,1,0
dumbledore, i didn't really expect him to linger. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," quite remarkable, yes. ",0.0,0.127,0.873,0.7828,1,0,1,0,0,0,1,0,1,0
dumbledore, many. each as unlikely as the next. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, not a single professor inside this castle would help sirius black enter it. ,0.0,0.816,0.184,0.4019,1,0,1,0,1,0,1,0,1,0
dumbledore, i'm quite convinced the castle is safe and i'm more than willing to send the students to their houses. ,0.0,0.743,0.257,0.7089,1,0,0,0,0,0,1,0,1,0
dumbledore," perhaps. but for now, let him sleep. ",0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0
dumbledore," for in dreams, we enter a world that's entirely our own. ",0.0,0.787,0.213,0.4019,1,0,1,0,1,0,0,0,1,0
dumbledore, let them swim in the deepest ocean or glide over the highest cloud. ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore, aresto momentum! ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," no, minister. over this way. ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, that's ling you see over there... ,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0,1,0
dumbledore," on the slope... ah, hagrid. ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore, good evening. ,0.0,0.256,0.744,0.4404,1,0,1,0,0,0,0,0,1,0
dumbledore, i'd like a cup of tea. ,0.0,0.667,0.333,0.3612,0,0,1,0,1,0,1,0,1,0
dumbledore," now, now, hagrid. now, come on. ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, all right. it'll be all right. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, scabbers? ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," i do, miss granger. ",0.348,0.652,0.0,-0.1531,0,1,0,1,0,0,0,0,0,1
dumbledore, but the word of three 13-year-old wizards will convince few others. ,0.0,0.8,0.2,0.3612,0,0,1,0,1,0,0,0,1,0
dumbledore," a child's voice, however honest and true is meaningless to those who have forgotten how to listen. ",0.201,0.544,0.255,0.3182,0,0,1,0,1,0,1,0,1,0
dumbledore," mysterious thing, time. ",0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0
dumbledore," powerful and when meddled with, dangerous. ",0.313,0.404,0.283,-0.0772,0,1,0,1,0,1,0,1,0,1
dumbledore, sirius black is in the topmost cell of the dark tower. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," you know the laws, miss granger ",0.242,0.758,0.0,-0.1531,0,0,0,1,0,0,0,0,0,1
dumbledore, you must not be seen. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," and you would do well, i feel, to return before this last chime. ",0.0,0.851,0.149,0.2732,1,0,1,0,1,0,1,0,1,0
dumbledore," if not, the consequences are too ghastly to discuss. ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, if you succeed tonight more than one innocent life may be spared. ,0.0,0.63,0.37,0.7063,1,0,1,0,0,0,0,0,1,0
dumbledore," three turns should do it, i think. ",0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0
dumbledore," oh, and by the way. ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore," when in doubt, i find retracing my steps to be a wise place to begin. ",0.134,0.699,0.167,0.1531,1,0,1,0,0,0,0,0,1,0
dumbledore, good luck. ,0.0,0.0,1.0,0.7096,1,0,1,0,0,0,0,0,1,0
dumbledore," minister, i really think i should sign as well. ",0.0,0.792,0.208,0.2732,0,0,1,0,1,0,0,0,1,0
dumbledore, it's such a very long name... ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore," here we are, minister. follow me. ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore," now, look there. ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,1,0,1,0
dumbledore, look beyond the rocks. ,0.0,1.0,0.0,0.0,0,0,1,0,1,0,1,0,1,0
dumbledore, professor dippet had that ling planted when he was headmaster. ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,1,0,1,0
dumbledore, and all the strawberries. ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore, over there. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0
